CODE,COUNTRY,TIME_PERIOD,VALUE
ARG,Argentina,1960,64
ARG,Argentina,1961,64.4
ARG,Argentina,1962,64.2
ARG,Argentina,1963,64.4
ARG,Argentina,1964,64.4
ARG,Argentina,1965,64.6
ARG,Argentina,1966,64.9
ARG,Argentina,1967,65
ARG,Argentina,1968,64.9
ARG,Argentina,1969,64.9
ARG,Argentina,1970,65.6
ARG,Argentina,1971,65.5
ARG,Argentina,1972,65.9
ARG,Argentina,1973,66.3
ARG,Argentina,1974,66.6
ARG,Argentina,1975,67.1
ARG,Argentina,1976,67.2
ARG,Argentina,1977,67.9
ARG,Argentina,1978,68.2
ARG,Argentina,1979,68.5
ARG,Argentina,1980,68.6
ARG,Argentina,1981,69
ARG,Argentina,1982,68.9
ARG,Argentina,1983,69.3
ARG,Argentina,1984,69.2
ARG,Argentina,1985,69.7
ARG,Argentina,1986,70.1
ARG,Argentina,1987,70.6
ARG,Argentina,1988,71.1
ARG,Argentina,1989,71.4
ARG,Argentina,1990,71.8
ARG,Argentina,1991,72.3
ARG,Argentina,1992,72.4
ARG,Argentina,1993,72.6
ARG,Argentina,1994,73.2
ARG,Argentina,1995,73.1
ARG,Argentina,1996,73.3
ARG,Argentina,1997,73.1
ARG,Argentina,1998,73.5
ARG,Argentina,1999,73.7
ARG,Argentina,2000,73.9
ARG,Argentina,2001,74.2
ARG,Argentina,2002,74.4
ARG,Argentina,2003,74.1
ARG,Argentina,2004,74.9
ARG,Argentina,2005,75.1
ARG,Argentina,2006,75.4
ARG,Argentina,2007,75
ARG,Argentina,2008,75.6
ARG,Argentina,2009,75.9
ARG,Argentina,2010,75.7
ARG,Argentina,2011,76.1
ARG,Argentina,2012,76.5
ARG,Argentina,2013,76.5
ARG,Argentina,2014,76.8
ARG,Argentina,2015,76.8
ARG,Argentina,2016,76.3
ARG,Argentina,2017,76.8
ARG,Argentina,2018,77
ARG,Argentina,2019,77.3
ARG,Argentina,2020,75.9
ARG,Argentina,2021,75.4
ARG,Argentina,2022,76.1
AUS,Australia,1962,71
AUS,Australia,1967,70.8
AUS,Australia,1976,72.8
AUS,Australia,1981,74.8
AUS,Australia,1982,74.6
AUS,Australia,1983,75.4
AUS,Australia,1984,75.7
AUS,Australia,1985,75.5
AUS,Australia,1986,76
AUS,Australia,1987,76.2
AUS,Australia,1988,76.2
AUS,Australia,1989,76.4
AUS,Australia,1990,76.9
AUS,Australia,1991,77.3
AUS,Australia,1992,77.4
AUS,Australia,1993,77.9
AUS,Australia,1994,77.9
AUS,Australia,1995,77.8
AUS,Australia,1996,78.1
AUS,Australia,1997,78.4
AUS,Australia,1998,78.6
AUS,Australia,1999,78.9
AUS,Australia,2000,79.2
AUS,Australia,2001,79.6
AUS,Australia,2002,79.9
AUS,Australia,2003,80.2
AUS,Australia,2004,80.5
AUS,Australia,2005,80.8
AUS,Australia,2006,81
AUS,Australia,2007,81.3
AUS,Australia,2008,81.4
AUS,Australia,2009,81.5
AUS,Australia,2010,81.7
AUS,Australia,2011,81.9
AUS,Australia,2012,82
AUS,Australia,2013,82.1
AUS,Australia,2014,82.3
AUS,Australia,2015,82.4
AUS,Australia,2016,82.4
AUS,Australia,2017,82.5
AUS,Australia,2018,82.7
AUS,Australia,2019,82.9
AUS,Australia,2020,83.2
AUS,Australia,2021,83.3
AUS,Australia,2022,83.2
AUT,Austria,1960,68.7
AUT,Austria,1961,69.7
AUT,Austria,1962,69.4
AUT,Austria,1963,69.6
AUT,Austria,1964,70
AUT,Austria,1965,69.8
AUT,Austria,1966,70.2
AUT,Austria,1967,70
AUT,Austria,1968,70.2
AUT,Austria,1969,69.9
AUT,Austria,1970,70.1
AUT,Austria,1971,70.3
AUT,Austria,1972,70.7
AUT,Austria,1973,71.2
AUT,Austria,1974,71.2
AUT,Austria,1975,71.4
AUT,Austria,1976,71.8
AUT,Austria,1977,72.2
AUT,Austria,1978,72.3
AUT,Austria,1979,72.6
AUT,Austria,1980,72.7
AUT,Austria,1981,73
AUT,Austria,1982,73.2
AUT,Austria,1983,73.3
AUT,Austria,1984,73.9
AUT,Austria,1985,74.1
AUT,Austria,1986,74.5
AUT,Austria,1987,75
AUT,Austria,1988,75.5
AUT,Austria,1989,75.6
AUT,Austria,1990,75.8
AUT,Austria,1991,75.9
AUT,Austria,1992,76.1
AUT,Austria,1993,76.3
AUT,Austria,1994,76.7
AUT,Austria,1995,76.9
AUT,Austria,1996,77.1
AUT,Austria,1997,77.5
AUT,Austria,1998,77.9
AUT,Austria,1999,78.1
AUT,Austria,2000,78.3
AUT,Austria,2001,78.8
AUT,Austria,2002,78.9
AUT,Austria,2003,78.8
AUT,Austria,2004,79.3
AUT,Austria,2005,79.5
AUT,Austria,2006,80.1
AUT,Austria,2007,80.3
AUT,Austria,2008,80.6
AUT,Austria,2009,80.5
AUT,Austria,2010,80.7
AUT,Austria,2011,81.1
AUT,Austria,2012,81.1
AUT,Austria,2013,81.3
AUT,Austria,2014,81.6
AUT,Austria,2015,81.3
AUT,Austria,2016,81.8
AUT,Austria,2017,81.7
AUT,Austria,2018,81.8
AUT,Austria,2019,82
AUT,Austria,2020,81.3
