REF_AREA,Reference area,DEATH_CAUSE,Cause of death,TIME_PERIOD,OBS_VALUE
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1966,1591
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1967,1832.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1968,1943.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1969,1237.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1970,1354
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1977,1572.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1978,1553.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1979,1676.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1982,1404.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1983,1249.9
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1984,1135.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1985,1044.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1986,1169.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1987,1117.2
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1988,1171
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1989,1135.7
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1990,1136.2
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1991,1093.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1992,1036.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1993,947
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1994,935.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1995,887.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1996,838.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1997,773.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1998,786.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,1999,755
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2000,737.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2001,692.9
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2002,759.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2003,721.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2004,693.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2005,617.8
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2006,547.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2007,555.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2008,567.2
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2009,528.4
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2010,530.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2011,504
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2012,461.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2013,469.3
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2014,463
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2015,415.7
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2016,390.1
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2017,385.9
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2018,346.9
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2019,330.6
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2020,278.5
ARG,Argentina,CICDAFFE,Certain conditions originating in the perinatal period,2021,260.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1960,1056.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1961,1050.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1962,1061.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1963,1017.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1964,931.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1965,888.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1966,890.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1967,930.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1968,880.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1969,900.7
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1970,913.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1971,887.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1972,805.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1973,719.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1974,695.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1975,560.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1976,529.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1977,444.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1978,436.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1979,410
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1980,406.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1981,358.9
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1982,355.7
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1983,333
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1984,328.7
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1985,335
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1986,296.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1987,308.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1988,292.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1989,312.4
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1990,289.4
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1991,260.2
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1992,270.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1993,221.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1994,233.6
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1995,199.3
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1996,219.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1997,207
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1998,194.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,1999,213.1
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2000,216
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2001,217.8
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2002,212.5
AUS,Australia,CICDAFFE,Certain conditions originating in the perinatal period,2003,203
